timestamp,food_storage,wood_storage,role_counts_json,cumulative_role_changes,cumulative_deposits,pending_role_requests
1.00,0,0,"{""Unassigned"":16}",0,0,10
2.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
3.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
4.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
5.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
6.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
7.03,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
8.03,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
9.04,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
10.04,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
11.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
12.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
13.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
14.06,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
15.06,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
16.07,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,2
17.07,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
18.07,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
19.08,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
20.08,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
21.09,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
22.09,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
23.10,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
24.10,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
25.10,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
26.11,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
27.11,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
28.12,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
29.12,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
30.12,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
31.13,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,1
32.13,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
33.14,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
34.14,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
35.15,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
36.15,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
37.15,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
38.16,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
39.16,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
40.17,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
41.17,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
42.18,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
43.18,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
44.18,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
45.19,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
46.19,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
47.20,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
48.20,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
49.20,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
50.21,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
51.21,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
52.22,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
53.22,36,0,"{""Explorer"":10,""Gatherer"":6}",16,36,3
54.23,36,0,"{""Explorer"":10,""Gatherer"":6}",16,36,3
55.23,36,0,"{""Explorer"":10,""Gatherer"":6}",16,36,3
56.23,36,0,"{""Explorer"":10,""Gatherer"":6}",16,36,3
57.24,42,0,"{""Explorer"":10,""Gatherer"":6}",16,42,3
58.24,42,0,"{""Explorer"":10,""Gatherer"":6}",16,42,3
59.25,42,0,"{""Explorer"":10,""Gatherer"":6}",16,42,3
60.25,42,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,42,2
61.25,47,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,47,2
62.26,48,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,48,2
63.26,48,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,48,2
64.27,48,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,48,2
65.27,48,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,48,2
66.28,54,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,54,1
67.28,54,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,54,1
68.28,54,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,54,1
69.29,54,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,54,1
70.29,57,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,63,1
71.30,57,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,66,0
72.30,59,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,74,0
73.30,58,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,74,0
74.31,57,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
75.31,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
76.32,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
77.32,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
78.33,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
79.33,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
80.33,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
81.34,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
82.34,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
83.35,53,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
