timestamp,food_storage,wood_storage,role_counts_json,cumulative_role_changes,cumulative_deposits,pending_role_requests
1.00,0,0,"{""Unassigned"":16}",0,0,10
2.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
3.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
4.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
5.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
6.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
7.03,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,8
8.03,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,2
9.04,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
10.04,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
11.05,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
12.05,5,0,"{""Explorer"":10,""Gatherer"":6}",16,5,3
13.05,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
14.06,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
15.06,9,0,"{""Explorer"":10,""Gatherer"":6}",16,9,3
16.07,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
17.07,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
18.07,13,0,"{""Explorer"":10,""Gatherer"":6}",16,13,3
19.08,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
20.08,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,1
21.09,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,1
22.09,23,0,"{""Explorer"":10,""Gatherer"":6}",16,23,1
23.10,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,1
24.10,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,1
25.10,26,0,"{""Explorer"":10,""Gatherer"":6}",16,26,3
26.11,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
27.11,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
28.12,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
29.12,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
30.12,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
31.13,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
32.13,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
33.14,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
34.14,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
35.15,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
36.15,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
37.15,30,0,"{""Explorer"":10,""Gatherer"":6}",16,30,3
38.16,31,0,"{""Explorer"":10,""Gatherer"":6}",16,31,3
39.16,36,0,"{""Explorer"":10,""Gatherer"":6}",16,36,3
40.17,36,0,"{""Explorer"":10,""Gatherer"":6}",16,36,3
41.17,36,0,"{""Explorer"":10,""Gatherer"":6}",16,36,3
42.18,40,0,"{""Explorer"":10,""Gatherer"":6}",16,40,3
43.18,42,0,"{""Explorer"":10,""Gatherer"":6}",16,42,3
44.18,42,0,"{""Explorer"":10,""Gatherer"":6}",16,42,3
45.19,43,0,"{""Explorer"":10,""Gatherer"":6}",16,43,3
46.19,48,0,"{""Explorer"":10,""Gatherer"":6}",16,48,3
47.20,48,0,"{""Explorer"":10,""Gatherer"":6}",16,48,3
48.20,48,0,"{""Explorer"":10,""Gatherer"":6}",16,48,3
49.20,53,0,"{""Explorer"":10,""Gatherer"":6}",16,53,3
50.21,54,0,"{""Explorer"":10,""Gatherer"":6}",16,54,3
51.21,54,0,"{""Explorer"":10,""Gatherer"":6}",16,54,3
52.22,57,0,"{""Explorer"":10,""Gatherer"":6}",16,57,3
53.22,60,0,"{""Explorer"":10,""Gatherer"":6}",16,60,3
54.23,60,0,"{""Explorer"":10,""Gatherer"":6}",16,60,3
55.23,60,0,"{""Explorer"":10,""Gatherer"":6}",16,60,3
56.23,60,0,"{""Explorer"":10,""Gatherer"":6}",16,60,3
57.24,60,0,"{""Explorer"":10,""Gatherer"":6}",16,60,3
58.24,60,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,60,2
59.25,60,0,"{""Explorer"":9,""Gatherer"":6,""Unassigned"":1}",17,60,2
60.25,60,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,60,1
61.25,60,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,60,1
62.26,60,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,60,1
63.26,60,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,60,1
64.27,61,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,61,1
65.27,62,0,"{""Explorer"":8,""Gatherer"":7,""Unassigned"":1}",18,62,1
66.28,67,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,67,0
67.28,67,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,67,0
68.28,68,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,68,0
69.29,72,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,72,0
70.29,75,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
71.30,75,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,75,0
72.30,77,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,87,0
73.30,73,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,110,0
74.31,76,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
75.31,75,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
76.32,74,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
77.32,74,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
78.33,74,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
79.33,74,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
80.33,74,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
81.34,74,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
82.34,74,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,115,0
